Run    HMSP     SHMP
6533   4.7360   3.5150
6534   4.7360   3.5150
6535   4.7360   3.5150
6536   4.7360   3.5150
6537   5.2700   3.7290
6538   5.2700   3.7290
6539   5.2700   3.1950
6540   5.2700   3.1950
6541   5.2700   3.1950
6542   5.2700   2.6620
6543   5.2700   2.6620
6544   5.2700   2.6620
6545   5.2700   3.7290
6546   5.2700   3.7290
6547   5.2700   3.1950
6548   5.2700   3.1950
6549   5.2700   3.1950
6550   5.2700   2.6620
6551   5.2700   2.6620
6552   5.2700   2.6620
7593   5.7140   3.1500
7594   5.7140   3.1500
7595   5.7140   3.1500
7596   5.7140   3.1500
7597   5.7140   3.1500
7598   5.7140   3.1500
7599   5.7140   3.1500
7600   5.7140   3.1500
7601   5.7140   3.1500
7602   5.7140   3.1500
7603   5.7140   3.1500
7604   5.7140   3.1500
7605   5.7140   2.6990
7606   5.7140   2.6990
7607   5.7140   2.6990
7608   5.7140   2.6990
7609   5.7140   2.6990
7610   5.7140   2.6990
7611   5.7140   2.2480
7612   5.7140   2.2480
7613   5.7140   2.2480
7614   5.7140   2.2480
7615   5.7140   2.2480
7616   5.7140   2.2480
7617   5.7140   2.2480
7618   5.7140   2.2480
7619   5.7140   2.2480
7620   5.7140   1.7970
7621   5.7140   1.7970
7622   5.7140   1.7970
7623   5.7140   1.7970
7624   5.7140   1.7970
7625   5.7140   1.7970
7626   5.7140   1.7970
7627   5.7140   1.7970
7628   5.7140   1.7970
7629   5.7140   1.7970
7630   5.7140   1.7970
7631   5.7140   1.7970
7632   5.7140   1.7970
7633   5.7140   1.7970
7634   5.7140   1.7970
7635   5.7140   3.1500
7636   5.7140   3.1500
7637   5.7140   3.1500
7638   5.7140   3.1500
7639   5.7140   3.1500
7640   5.7140   2.6990
7641   5.7140   2.6990
7642   5.7140   2.6990
7643   5.7140   2.6990
7644   5.7140   2.6990
7645   5.7140   2.6990
7646   5.7140   2.2480
7647   5.7140   2.2480
7648   5.7140   2.2480
7649   5.7140   2.2480
7650   5.7140   2.2480
7651   5.7140   2.2480
7652   5.7140   2.2480
7653   5.7140   2.2480
7654   5.7140   2.2480
7655   5.7140   2.2480
7656   5.7140   1.7970
7657   5.7140   1.7970
7658   5.7140   1.7970
7659   5.7140   1.7970
7660   5.7140   1.7970
7661   5.7140   1.7970
7662   5.7140   1.7970
7663   5.7140   1.7970
7665   5.7140   1.7970
7666   5.7140   1.7970
7667   5.7140   1.7970
7668   5.7140   1.7970
7669   5.7140   1.7970
7670   5.7140   1.7970
7671   4.3570   3.5140
7672   4.3570   3.5140
7673   4.3570   3.5140
7674   4.3570   3.5140
7675   4.3570   2.9280
7676   4.3570   2.9280
7677   4.3570   2.9280
7678   4.3570   2.9280
7679   4.3570   2.9280
7680   4.3570   2.9280
7681   4.3570   2.9280
7682   4.3570   2.9280
7684   4.3570   2.3410
7685   4.3570   2.3410
7686   4.3570   2.3410
7687   4.3570   2.3410
7688   4.3570   2.3410
7689   4.3570   2.3410
7690   4.3570   2.3410
7691   4.3570   2.3410
7692   4.3570   2.3410
7693   4.3570   2.3410
7694   4.3570   2.3410
7695   4.3570   2.3410
7697   4.3570   3.5140
7698   4.3570   3.5140
7699   4.3570   3.5140
7700   4.3570   3.5140
7701   4.3570   3.5140
7702   4.3570   3.5140
7703   4.3570   3.5140
7706   4.3570   2.9280
7707   4.3570   2.9280
7708   4.3570   2.9280
7709   4.3570   2.9280
7710   4.3570   2.9280
7711   4.3570   2.9280
7712   4.3570   2.9280
7713   4.3570   2.3410
7714   4.3570   2.3410
7715   4.3570   2.3410
7716   4.3570   2.3410
7717   4.3570   2.3410
7718   4.3570   2.3410
7719   4.3570   2.3410
7720   4.3570   2.3410
7721   4.3570   2.3410
7722   4.3570   2.3410
7723   5.2700   4.4520
7724   5.2700   4.4520
7725   5.2700   4.4520
7727   5.2700   3.2140
7728   5.2700   3.2140
7729   5.2700   3.2140
7730   5.2700   3.2140
7731   5.2700   3.2140
7732   5.2700   3.2140
7733   5.2700   3.2140
7734   5.2700   3.2140
7735   5.2700   3.2140
7736   5.2700   3.2140
7737   5.2700   2.7180
7738   5.2700   2.7180
7739   5.2700   2.7180
7740   5.2700   2.7180
7741   5.2700   2.7180
7742   5.2700   2.7180
7743   5.2700   2.7180
7744   5.2700   2.7180
7745   5.2700   2.7180
7746   5.2700   2.7180
7747   5.2700   2.7180
7748   5.2700   2.7180
7749   5.2700   2.7180
7750   5.2700   2.2230
7751   5.2700   2.2230
7752   5.2700   2.2230
7753   5.2700   2.2230
7754   5.2700   2.2230
7755   5.2700   2.2230
7756   5.2700   2.2230
7757   5.2700   2.2230
7758   5.2700   2.2230
7759   5.2700   2.2230
7760   5.2700   4.4520
7761   5.2700   4.4520
7762   5.2700   4.4520
7763   5.2700   4.4520
7765   5.2700   3.2140
7766   5.2700   3.2140
7767   5.2700   3.2140
7768   5.2700   3.2140
7769   5.2700   3.2140
7770   5.2700   3.2140
7771   5.2700   3.2140
7772   5.2700   3.2140
7773   5.2700   2.7180
7774   5.2700   2.7180
7775   5.2700   2.7180
7776   5.2700   2.7180
7777   5.2700   2.7180
7778   5.2700   2.7180
7779   5.2700   2.7180
7781   5.2700   2.2230
7782   5.2700   2.2230
7783   5.2700   2.2230
7784   5.2700   2.2230
7785   5.2700   2.2230
7786   5.2700   2.2230
7787   5.2700   2.2230
7788   5.2700   2.2230
7789   5.2700   2.2230
7790   5.2700   2.2230
7791   5.2700   2.2230
7792   5.2700   2.2230
7793   4.8900   3.4610
7794   4.8900   3.4610
7795   4.8900   3.4610
7796   4.8900   3.4610
7797   4.8900   3.4610
7798   4.8900   2.9280
7799   4.8900   2.9280
7800   4.8900   2.9280
7801   4.8900   2.9280
7802   4.8900   2.9280
7803   4.8900   2.3940
7804   4.8900   2.3940
7805   4.8900   2.3940
7806   4.8900   2.3940
7807   4.8900   2.3940
7808   4.8900   3.4610
7809   4.8900   3.4610
7810   4.8900   3.4610
7811   4.8900   3.4610
7812   4.8900   2.9280
7813   4.8900   2.9280
7814   4.8900   2.9280
7815   4.8900   2.3940
7816   4.8900   2.3940
7817   4.8900   2.3940
7818   4.8900   2.3940
7819   4.8900   2.3940
7820   4.8900   2.3940
