Run	Hms_ang	shms_ang rate	hms_P    shms_P	
6277   -17.25   14.164   5.34   4.9730   2.2460
6281   -17.25   14.164   5.23   4.9730   2.2460
6282   -17.25   14.164   5.21   4.9730   2.2460
6284   -17.25   14.164   5.30   4.9730   2.2460
6285   -15.75   18.506   9.58   5.9830   3.2290
6286   -15.75   18.506   11.5   5.9830   3.2290
6287   -15.75   18.506   11.5   5.9830   3.2290
6288   -15.75   18.506   2.16   5.9830   3.2290
6289   -15.75   18.506   2.14   5.9830   3.2290
6290   -15.75   18.506   20.5   5.9830   3.2290
6291   -15.75   18.506   20.1   5.9830   3.2290
6292   -15.75   18.506   20.6   5.9830   2.7670
6293   -15.75   18.506   20.6   5.9830   2.7670
6294   -15.75   18.506   2.16   5.9830   2.7670
6295   -15.75   18.506   2.16   5.9830   2.7670
6296   -15.75   18.506   2.16   5.9830   2.7670
6297   -15.75   18.506   9.34   5.9830   2.7670
6298   -15.75   18.506   9.56   5.9830   2.7670
6299   -15.75   18.506   9.72   5.9830   2.7670
6300   -15.75   18.506   9.96   5.9830   2.3040
6301   -15.75   18.506   11.5   5.9830   2.3040
6302   -15.75   18.506   11.5   5.9830   2.3040
6304   -15.75   18.506   2.15   5.9830   2.3040
6305   -15.75   18.506   2.16   5.9830   2.3040
6306   -15.75   18.506   14.8   5.9830   2.3040
6307   -15.75   18.506   14.7   5.9830   2.3040
6308   -15.75   18.506   14.8   5.9830   2.3040
6309   -15.75   18.506   20.8   5.9830   3.2290
6310   -15.75   18.506   21.4   5.9830   3.2290
6311   -15.75   18.506   2.18   5.9830   3.2290
6312   -15.75   18.506   2.16   5.9830   3.2290
6313   -15.75   18.506   11.5   5.9830   3.2290
6314   -15.75   18.506   11.5   5.9830   3.2290
6315   -15.75   18.506   11.5   5.9830   2.7670
6316   -15.75   18.506   11.6   5.9830   2.7670
6317   -15.75   18.506   2.16   5.9830   2.7670
6318   -15.75   18.506   2.16   5.9830   2.7670
6322   -15.75   18.506   13.3   5.9830   2.7670
6323   -15.75   18.506   13.2   5.9830   2.7670
6324   -15.75   18.506   5.84   5.9830   2.3040
6325   -15.75   18.506   5.82   5.9830   2.3040
6326   -15.75   18.506   5.83   5.9830   2.3040
6327   -15.75   18.506   5.80   5.9830   2.3040
6328   -15.75   18.506   2.14   5.9830   2.3040
6329   -15.75   18.506   2.16   5.9830   2.3040
6331   -15.75   18.506   7.03   5.9830   2.3040
6332   -15.75   18.506   7.03   5.9830   2.3040
6334   -15.75   18.506   3.39   5.9830   1.8420
6335   -15.75   18.506   3.40   5.9830   1.8420
6336   -15.75   18.506   3.40   5.9830   1.8420
6337   -15.75   18.506   3.41   5.9830   1.8420
6338   -15.75   18.506   3.41   5.9830   1.8420
6339   -15.75   18.506   3.20   5.9830   1.8420
6340   -15.75   18.506   3.17   5.9830   1.8420
6341   -15.75   18.506   3.20   5.9830   1.8420
6342   -15.75   18.506   3.20   5.9830   1.8420
6343   -15.75   18.506   3.21   5.9830   1.8420
6344   -15.75   18.506   3.22   5.9830   1.8420
6345   -15.75   18.506   2.15   5.9830   1.8420
6346   -15.75   18.506   2.14   5.9830   1.8420
6347   -15.75   18.506   3.22   5.9830   1.8420
6348   -15.75   18.506   6.99   5.9830   1.8420
6349   -15.75   18.506   6.96   5.9830   1.8420
6350   -15.75   18.506   6.97   5.9830   1.8420
6351   -15.75   18.506   6.97   5.9830   1.8420
6352   -15.75   18.506   2.15   5.9830   1.8420
6353   -15.75   18.506   2.12   5.9830   1.8420
6354   -15.75   18.506   2.15   5.9830   1.8420
6355   -15.75   18.506   9.40   5.9830   1.8420
6356   -15.75   18.506   9.91   5.9830   1.8420
6357   -15.75   18.506   9.88   5.9830   1.8420
6358   -15.75   18.506   9.84   5.9830   1.8420
6359   -15.30   20.588   20.3   6.3580   2.9660
6360   -15.30   20.588   20.5   6.3580   2.9660
6363   -15.30   20.588   2.11   6.3580   2.9660
6364   -15.30   20.588   2.07   6.3580   2.9660
6365   -15.30   20.588   2.11   6.3580   2.9660
6367   -15.30   20.588   20.1   6.3580   2.5410
6368   -15.30   20.588   20.6   6.3580   2.5410
6370   -15.30   20.588   20.1   6.3580   2.5410
6371   -15.30   20.588   2.10   6.3580   2.5410
6372   -15.30   20.588   2.08   6.3580   2.5410
6373   -15.30   20.588   2.08   6.3580   2.1160
6374   -15.30   20.588   2.07   6.3580   2.1160
6375   -15.30   20.588   17.2   6.3580   2.1160
6376   -15.30   20.588   17.4   6.3580   2.1160
6377   -15.30   20.588   17.4   6.3580   2.1160
6378   -15.30   20.588   7.64   6.3580   1.6910
6379   -15.30   20.588   7.64   6.3580   1.6910
6380   -15.30   20.588   7.69   6.3580   1.6910
6381   -15.30   20.588   7.68   6.3580   1.6910
6382   -15.30   20.588   2.06   6.3580   1.6910
6383   -15.30   20.588   2.05   6.3580   1.6910
6385   -15.30   20.588   2.10   6.3580   2.9660
6386   -15.30   20.588   2.09   6.3580   2.9660
6387   -15.30   20.588   20.4   6.3580   2.9660
6388   -15.30   20.588   20.3   6.3580   2.9660
6389   -15.30   20.588   2.07   6.3580   2.9660
6390   -15.30   20.588   2.07   6.3580   2.5410
6391   -15.30   20.588   2.06   6.3580   2.5410
6393   -15.30   20.588   15.0   6.3580   2.5410
6394   -15.30   20.588   15.0   6.3580   2.5410
6395   -15.30   20.588   15.1   6.3580   2.5410
6396   -15.30   20.588   15.2   6.3580   2.5410
6397   -15.30   20.588   19.8   6.3580   2.9660
6398   -15.30   20.588   19.5   6.3580   2.9660
6399   -15.30   20.588   6.75   6.3580   2.1160
6400   -15.30   20.588   7.16   6.3580   2.1160
6401   -15.30   20.588   6.96   6.3580   2.1160
6402   -15.30   20.588   7.00   6.3580   2.1160
6403   -15.30   20.588   7.02   6.3580   2.1160
6404   -15.30   20.588   7.01   6.3580   2.1160
6405   -15.30   20.588   2.09   6.3580   2.1160
6406   -15.30   20.588   2.09   6.3580   2.1160
6407   -15.30   20.588   2.12   6.3580   1.6910
6408   -15.30   20.588   2.09   6.3580   1.6910
6410   -15.30   20.588   3.40   6.3580   1.6910
6411   -15.30   20.588   3.38   6.3580   1.6910
6412   -15.30   20.588   3.38   6.3580   1.6910
